Area,Bedrooms,Bathrooms,Stories,Parking,Age,City,Furnishing,Main Road,Guest Room,Basement,Water Supply,Air Conditioning,Preferred Tenant,Locality Rating,Price
5082,4,3,2,1,14,Delhi,Semi-Furnished,Yes,No,No,Borewell,No,Company,2,1123747
2048,1,2,1,2,13,Hyderabad,Semi-Furnished,No,No,No,Corporation,Yes,Company,2,670444
5939,2,3,3,2,18,Pune,Semi-Furnished,Yes,Yes,Yes,Both,No,Bachelor,4,1298275
1845,5,1,3,1,42,Pune,Furnished,No,No,Yes,Borewell,No,Company,4,1375633
4599,2,1,3,1,14,Kolkata,Unfurnished,Yes,Yes,No,Borewell,No,Family,4,1030834
4323,1,1,1,1,5,Delhi,Furnished,Yes,No,No,Borewell,Yes,Bachelor,7,1018926
653,5,3,2,0,8,Mumbai,Semi-Furnished,No,No,Yes,Both,No,Bachelor,1,1370120
3583,2,2,3,1,36,Mumbai,Unfurnished,Yes,Yes,Yes,Corporation,Yes,Family,8,1197279
2957,3,1,1,1,19,Bangalore,Unfurnished,No,Yes,No,Corporation,Yes,Family,10,1225183
5992,1,1,1,0,33,Hyderabad,Furnished,Yes,Yes,No,Both,No,Bachelor,9,1266718
498,1,3,2,2,37,Bangalore,Furnished,Yes,No,Yes,Borewell,No,Company,10,1036030
2600,1,2,3,1,25,Chennai,Furnished,No,No,Yes,Both,Yes,Family,6,1249053
3361,3,3,1,1,17,Mumbai,Unfurnished,No,No,No,Both,No,Bachelor,4,999887
5373,3,1,2,2,27,Hyderabad,Unfurnished,Yes,Yes,No,Borewell,No,Company,6,1400494
4833,4,2,3,2,8,Kolkata,Unfurnished,No,Yes,Yes,Both,Yes,Company,10,1482256
4177,2,2,2,0,31,Bangalore,Semi-Furnished,No,No,No,Corporation,No,Bachelor,7,757293
3269,4,1,2,1,5,Kolkata,Semi-Furnished,Yes,Yes,No,Both,No,Family,6,1239949
3634,2,2,1,1,13,Kolkata,Furnished,Yes,No,No,Borewell,Yes,Company,1,955201
4191,3,2,1,0,27,Kolkata,Unfurnished,No,Yes,No,Both,No,Family,5,913453
1356,3,3,1,2,23,Bangalore,Furnished,Yes,No,Yes,Corporation,Yes,Bachelor,8,1363931
4467,4,1,2,0,12,Chennai,Unfurnished,No,No,Yes,Both,Yes,Family,8,1388022
560,5,1,1,2,42,Pune,Furnished,No,No,No,Both,No,Company,10,1169450
4893,4,1,2,0,11,Pune,Semi-Furnished,No,Yes,No,Both,Yes,Bachelor,9,1303500
1700,2,1,2,2,18,Bangalore,Unfurnished,No,Yes,No,Both,No,Company,4,792272
5311,4,1,1,0,20,Pune,Semi-Furnished,No,No,No,Borewell,No,Company,10,1103288
4387,1,2,3,2,26,Delhi,Unfurnished,No,No,Yes,Corporation,Yes,Bachelor,6,1024119
1927,2,3,3,2,18,Pune,Furnished,Yes,No,No,Corporation,Yes,Bachelor,7,1176667
5911,2,1,3,2,23,Mumbai,Unfurnished,No,No,No,Corporation,Yes,Family,5,1240581
5654,5,3,2,2,25,Bangalore,Semi-Furnished,Yes,No,Yes,Both,Yes,Bachelor,8,1816434
1618,3,3,2,2,44,Pune,Unfurnished,No,No,Yes,Corporation,Yes,Family,3,1306021
4896,2,2,2,1,27,Bangalore,Furnished,Yes,Yes,No,Borewell,Yes,Bachelor,8,1206150
5135,3,1,1,2,45,Chennai,Unfurnished,Yes,Yes,Yes,Both,No,Company,5,1079287
3504,4,2,2,1,17,Delhi,Semi-Furnished,Yes,Yes,Yes,Both,No,Family,1,1596676
3135,1,1,1,2,43,Bangalore,Furnished,No,Yes,No,Corporation,Yes,Bachelor,6,842658
4955,5,2,1,1,35,Mumbai,Semi-Furnished,Yes,No,No,Both,No,Family,2,1309320
1354,3,3,3,1,41,Pune,Unfurnished,Yes,No,Yes,Both,Yes,Family,7,1107363
4965,2,1,3,0,28,Mumbai,Semi-Furnished,No,No,No,Corporation,Yes,Family,9,983635
3846,3,3,3,2,16,Pune,Unfurnished,Yes,Yes,Yes,Borewell,No,Company,3,1658856
1445,2,3,1,0,3,Bangalore,Furnished,Yes,Yes,Yes,Borewell,No,Bachelor,10,1197855
2093,3,2,1,0,43,Kolkata,Semi-Furnished,No,No,Yes,Corporation,Yes,Bachelor,4,1001131
3836,2,1,1,2,44,Pune,Semi-Furnished,Yes,Yes,No,Borewell,Yes,Family,4,829712
962,4,3,2,0,28,Kolkata,Unfurnished,Yes,Yes,No,Borewell,Yes,Bachelor,4,1269531
2885,2,2,1,2,3,Delhi,Semi-Furnished,No,No,Yes,Borewell,No,Company,3,1162213
3754,2,1,3,0,9,Mumbai,Semi-Furnished,Yes,No,Yes,Both,Yes,Family,5,1324161
625,1,1,3,2,24,Kolkata,Furnished,Yes,No,No,Both,Yes,Company,9,1171749
5293,2,3,1,2,30,Mumbai,Unfurnished,Yes,Yes,Yes,Both,No,Company,8,1143157
1359,1,1,1,2,2,Pune,Unfurnished,Yes,No,Yes,Borewell,No,Bachelor,10,845508
4948,5,3,3,1,46,Pune,Furnished,No,No,No,Both,No,Bachelor,2,1698017
3467,1,1,1,0,1,Delhi,Furnished,No,No,No,Borewell,Yes,Family,9,657353
1215,4,2,3,1,24,Pune,Unfurnished,No,Yes,No,Corporation,Yes,Company,10,1198708
5154,1,3,2,0,48,Delhi,Furnished,No,Yes,No,Borewell,No,Bachelor,2,1170463
5042,5,3,3,0,5,Kolkata,Furnished,Yes,No,Yes,Both,Yes,Family,7,2016426
5711,4,1,2,0,25,Pune,Furnished,No,No,No,Borewell,Yes,Family,5,1152872
3520,3,1,1,1,7,Bangalore,Unfurnished,No,Yes,No,Both,No,Bachelor,7,1119953
416,3,3,1,0,34,Hyderabad,Furnished,Yes,Yes,Yes,Both,No,Company,5,1098255
1643,1,1,2,1,26,Chennai,Semi-Furnished,Yes,No,Yes,Corporation,Yes,Family,6,1006731
2605,1,2,1,2,24,Hyderabad,Semi-Furnished,Yes,Yes,Yes,Corporation,No,Bachelor,8,935121
2924,5,1,2,0,17,Hyderabad,Unfurnished,No,No,No,Both,No,Family,1,1116717
1469,5,2,1,0,0,Mumbai,Furnished,Yes,No,Yes,Borewell,Yes,Bachelor,1,1434714
3844,2,2,3,2,47,Delhi,Semi-Furnished,Yes,Yes,No,Corporation,Yes,Family,5,1297439
2965,5,2,1,2,38,Mumbai,Unfurnished,Yes,No,Yes,Corporation,Yes,Company,1,1333562
1460,2,2,3,0,2,Kolkata,Semi-Furnished,No,No,No,Both,Yes,Family,3,887321
2727,4,2,3,2,3,Chennai,Furnished,No,Yes,Yes,Borewell,Yes,Bachelor,10,1996865
3820,1,1,2,1,40,Kolkata,Unfurnished,No,No,No,Corporation,Yes,Bachelor,9,871159
701,4,2,1,1,36,Bangalore,Semi-Furnished,No,Yes,No,Corporation,No,Bachelor,7,939756
4676,5,1,2,0,14,Chennai,Unfurnished,No,No,Yes,Borewell,No,Company,6,1162186
1006,4,2,1,1,7,Mumbai,Semi-Furnished,No,No,Yes,Corporation,No,Bachelor,8,1158875
3570,4,3,3,1,37,Pune,Semi-Furnished,No,Yes,No,Borewell,Yes,Bachelor,8,1731699
1099,4,2,3,0,49,Pune,Furnished,Yes,Yes,Yes,Both,Yes,Company,6,1212065
5488,5,3,1,2,18,Mumbai,Furnished,Yes,Yes,No,Corporation,Yes,Bachelor,4,2109429
1539,4,2,1,0,46,Kolkata,Semi-Furnished,Yes,Yes,No,Both,Yes,Bachelor,4,1179641
590,2,2,2,1,25,Mumbai,Unfurnished,No,Yes,No,Borewell,Yes,Company,4,957868
2700,5,2,1,0,38,Mumbai,Unfurnished,No,Yes,Yes,Both,No,Family,6,1170421
1380,4,3,1,0,9,Hyderabad,Furnished,Yes,No,No,Both,Yes,Bachelor,1,1222188
3375,5,3,1,1,37,Bangalore,Semi-Furnished,Yes,Yes,No,Both,No,Family,2,1374757
1584,3,2,2,1,13,Pune,Furnished,No,No,No,Borewell,Yes,Company,6,1368209
3727,2,1,1,0,48,Hyderabad,Semi-Furnished,No,Yes,No,Borewell,No,Bachelor,1,720430
3794,4,2,3,1,40,Mumbai,Semi-Furnished,No,No,Yes,Borewell,No,Bachelor,9,1552697
527,3,3,2,1,18,Delhi,Furnished,No,No,Yes,Borewell,No,Company,6,1109542
2465,3,2,2,1,29,Hyderabad,Unfurnished,No,Yes,No,Borewell,No,Bachelor,7,1103746
2216,5,3,3,1,4,Mumbai,Furnished,No,No,Yes,Corporation,No,Family,1,1396371
969,3,3,3,1,30,Pune,Semi-Furnished,No,No,Yes,Corporation,No,Family,8,1415619
5842,2,3,3,1,6,Mumbai,Furnished,No,No,No,Corporation,No,Company,5,1286457
2295,2,2,1,2,18,Bangalore,Unfurnished,Yes,Yes,Yes,Both,Yes,Bachelor,5,1051953
3133,1,3,3,0,30,Kolkata,Unfurnished,No,Yes,Yes,Both,Yes,Bachelor,6,1045735
4263,2,3,1,1,38,Chennai,Semi-Furnished,No,No,Yes,Borewell,No,Company,7,1065687
5121,3,2,2,0,23,Hyderabad,Furnished,No,Yes,Yes,Borewell,Yes,Family,7,1571134
4414,2,3,2,2,33,Hyderabad,Unfurnished,Yes,Yes,Yes,Corporation,Yes,Family,5,1327841
3301,5,2,3,1,22,Hyderabad,Furnished,Yes,No,Yes,Borewell,No,Company,1,1724148
2086,1,3,1,0,47,Mumbai,Unfurnished,No,No,No,Both,Yes,Bachelor,9,681888
3409,3,1,3,1,44,Bangalore,Semi-Furnished,Yes,Yes,Yes,Borewell,No,Family,6,1273946
554,1,1,3,1,39,Mumbai,Semi-Furnished,Yes,Yes,No,Corporation,Yes,Bachelor,9,848372
2937,3,3,1,1,5,Mumbai,Furnished,Yes,Yes,No,Borewell,No,Family,4,1351865
1809,5,1,3,1,37,Kolkata,Semi-Furnished,No,No,No,Both,Yes,Bachelor,2,1270647
4457,1,2,2,1,40,Delhi,Unfurnished,No,Yes,Yes,Corporation,No,Family,3,874160
1184,4,1,3,1,35,Bangalore,Semi-Furnished,No,Yes,Yes,Borewell,Yes,Bachelor,4,1436811
3575,3,3,1,1,26,Hyderabad,Unfurnished,No,Yes,No,Both,Yes,Company,10,1217348
4741,4,3,1,2,10,Chennai,Unfurnished,No,No,No,Corporation,Yes,Family,8,1587437
5996,1,2,2,2,4,Hyderabad,Semi-Furnished,No,No,No,Corporation,No,Company,3,978416
3206,4,3,1,1,16,Mumbai,Unfurnished,No,No,Yes,Both,No,Family,8,1285262
937,4,2,1,1,6,Bangalore,Unfurnished,Yes,Yes,Yes,Borewell,Yes,Family,6,1047883
2241,1,1,2,2,26,Pune,Furnished,No,Yes,Yes,Borewell,Yes,Family,4,936082
5416,5,1,3,2,46,Bangalore,Furnished,No,No,No,Borewell,No,Bachelor,7,1603638
2855,4,2,2,2,14,Bangalore,Furnished,No,Yes,Yes,Corporation,Yes,Family,5,1832497
924,4,2,3,1,45,Delhi,Semi-Furnished,No,Yes,Yes,Corporation,Yes,Company,5,1353060
3350,5,3,2,0,12,Hyderabad,Furnished,No,Yes,No,Borewell,No,Bachelor,9,1851200
4531,4,1,3,0,10,Delhi,Unfurnished,No,No,Yes,Corporation,No,Bachelor,3,1199908
5180,4,2,2,0,44,Pune,Semi-Furnished,No,Yes,No,Corporation,Yes,Family,10,1446737
4515,4,1,3,0,25,Pune,Semi-Furnished,No,Yes,Yes,Both,No,Bachelor,4,1534303
2768,2,2,2,1,21,Kolkata,Semi-Furnished,Yes,No,No,Borewell,Yes,Family,5,1180132
4247,5,1,3,0,27,Chennai,Semi-Furnished,Yes,Yes,Yes,Borewell,Yes,Company,1,1397911
4895,4,3,2,2,23,Kolkata,Unfurnished,No,No,No,Borewell,No,Bachelor,7,1519785
3101,5,1,1,2,28,Mumbai,Unfurnished,No,Yes,Yes,Corporation,Yes,Bachelor,8,1370170
1371,3,1,3,0,8,Delhi,Furnished,Yes,No,No,Corporation,No,Company,6,781904
1566,3,1,2,2,41,Delhi,Semi-Furnished,No,No,No,Corporation,No,Company,9,1182855
5611,4,1,3,1,3,Kolkata,Furnished,No,Yes,Yes,Borewell,Yes,Family,3,1786400
5329,5,1,3,0,48,Mumbai,Unfurnished,Yes,Yes,Yes,Corporation,No,Bachelor,2,1643431
3174,5,3,2,0,45,Bangalore,Semi-Furnished,No,No,No,Borewell,Yes,Company,5,1496261
2382,5,2,3,1,17,Mumbai,Unfurnished,No,Yes,Yes,Corporation,No,Bachelor,9,1450111
1253,2,1,2,2,42,Hyderabad,Furnished,No,No,No,Borewell,Yes,Company,1,1037428
4546,3,3,1,1,15,Kolkata,Unfurnished,Yes,Yes,No,Both,No,Bachelor,1,1287733
4136,5,1,3,1,32,Mumbai,Semi-Furnished,Yes,Yes,Yes,Corporation,Yes,Company,10,1975902
4169,5,1,1,2,28,Bangalore,Semi-Furnished,No,Yes,Yes,Borewell,Yes,Bachelor,3,1451445
974,2,2,3,1,38,Mumbai,Furnished,Yes,Yes,Yes,Both,No,Family,10,1206603
3661,2,1,3,2,9,Delhi,Semi-Furnished,Yes,No,No,Both,Yes,Bachelor,3,1098828
1548,5,3,3,2,8,Chennai,Unfurnished,Yes,No,No,Corporation,Yes,Family,5,1661499
2115,1,3,2,1,30,Delhi,Unfurnished,No,Yes,Yes,Borewell,Yes,Family,4,749660
5177,5,2,1,2,27,Pune,Unfurnished,Yes,Yes,No,Corporation,Yes,Family,6,1716533
5333,5,1,3,1,2,Chennai,Unfurnished,Yes,Yes,No,Both,Yes,Bachelor,8,1775155
4254,2,3,2,2,13,Pune,Furnished,Yes,Yes,Yes,Corporation,Yes,Bachelor,8,1693500
5573,2,1,3,0,24,Mumbai,Unfurnished,No,Yes,No,Borewell,No,Family,4,1029113
2891,5,1,2,2,14,Hyderabad,Furnished,Yes,No,No,Both,No,Company,1,1592406
3060,5,1,3,2,1,Mumbai,Unfurnished,Yes,No,No,Corporation,No,Bachelor,7,1572899
3524,5,2,1,1,23,Bangalore,Furnished,No,Yes,Yes,Corporation,No,Bachelor,6,1385878
3451,2,1,1,2,13,Mumbai,Unfurnished,Yes,No,Yes,Corporation,Yes,Bachelor,5,939183
404,5,3,3,0,47,Chennai,Unfurnished,Yes,No,No,Corporation,Yes,Bachelor,4,1161788
5622,5,1,2,0,6,Delhi,Furnished,Yes,Yes,Yes,Corporation,No,Family,6,1681012
5715,4,3,3,2,35,Hyderabad,Semi-Furnished,No,No,No,Both,Yes,Company,8,1610379
5269,1,1,2,2,49,Pune,Semi-Furnished,No,No,Yes,Both,No,Company,6,1155148
1276,3,3,3,0,23,Mumbai,Semi-Furnished,Yes,No,No,Borewell,Yes,Company,3,1400505
1391,1,3,2,1,26,Mumbai,Furnished,Yes,No,No,Corporation,Yes,Company,9,1012607
4542,4,1,1,0,36,Delhi,Semi-Furnished,Yes,Yes,No,Borewell,No,Family,3,1090687
4764,3,1,3,0,37,Hyderabad,Semi-Furnished,Yes,No,No,Both,Yes,Bachelor,4,1232833
4865,5,3,1,2,29,Kolkata,Furnished,Yes,No,Yes,Corporation,No,Bachelor,5,1810997
1035,4,2,1,2,26,Pune,Semi-Furnished,Yes,No,No,Borewell,No,Family,2,1314501
5625,5,1,3,0,38,Mumbai,Semi-Furnished,No,Yes,No,Corporation,No,Bachelor,10,1297676
2093,2,2,3,1,14,Mumbai,Semi-Furnished,Yes,No,Yes,Corporation,Yes,Family,10,1256852
2082,4,1,2,0,25,Kolkata,Furnished,Yes,No,Yes,Borewell,Yes,Company,2,1157517
5152,2,1,2,0,0,Pune,Furnished,Yes,No,No,Both,No,Family,6,909019
519,4,1,1,1,3,Chennai,Semi-Furnished,No,Yes,No,Borewell,Yes,Bachelor,2,953873
1230,4,1,2,0,28,Chennai,Semi-Furnished,Yes,Yes,Yes,Borewell,No,Bachelor,10,1255965
4075,2,2,2,0,0,Bangalore,Furnished,No,Yes,No,Borewell,No,Bachelor,1,1012698
5577,3,1,3,2,42,Delhi,Semi-Furnished,Yes,Yes,No,Corporation,Yes,Company,8,1319926
1769,1,3,2,1,49,Hyderabad,Furnished,Yes,Yes,No,Both,No,Family,10,1543752
1140,5,3,1,2,45,Mumbai,Semi-Furnished,Yes,No,No,Both,Yes,Family,10,1560826
516,4,2,2,2,21,Pune,Furnished,Yes,Yes,No,Corporation,Yes,Bachelor,1,1356214
3238,5,1,1,1,10,Mumbai,Unfurnished,Yes,No,No,Both,Yes,Family,10,1204591
1550,2,3,3,1,9,Bangalore,Unfurnished,Yes,Yes,No,Borewell,No,Bachelor,6,1168605
2331,5,2,1,0,16,Pune,Furnished,No,Yes,No,Both,No,Family,1,1181227
1412,2,1,2,2,35,Pune,Unfurnished,Yes,Yes,No,Corporation,Yes,Company,8,748941
2064,5,3,3,1,46,Mumbai,Semi-Furnished,Yes,No,Yes,Both,Yes,Company,5,1444301
1481,1,3,2,2,25,Delhi,Furnished,Yes,No,Yes,Corporation,No,Family,3,1160598
5129,1,2,3,2,47,Bangalore,Furnished,No,No,Yes,Borewell,Yes,Company,5,1598842
912,1,1,3,1,20,Delhi,Semi-Furnished,Yes,Yes,No,Corporation,Yes,Company,1,909794
3249,1,1,2,0,12,Bangalore,Semi-Furnished,No,Yes,No,Both,No,Company,1,872402
5615,1,3,2,2,8,Mumbai,Furnished,Yes,Yes,No,Borewell,No,Bachelor,4,1331536
5637,1,3,3,1,10,Bangalore,Semi-Furnished,Yes,Yes,Yes,Both,No,Family,9,1420238
959,2,3,3,0,10,Chennai,Furnished,No,Yes,Yes,Corporation,Yes,Family,9,1486186
4072,4,1,2,2,5,Pune,Semi-Furnished,No,Yes,No,Borewell,No,Bachelor,1,1516236
4983,5,2,1,1,0,Hyderabad,Furnished,Yes,No,Yes,Corporation,No,Bachelor,3,1724144
5392,1,2,2,2,5,Mumbai,Semi-Furnished,No,No,Yes,Both,No,Company,4,956065
3743,2,1,3,1,12,Kolkata,Semi-Furnished,No,Yes,No,Corporation,No,Family,2,1016536
5708,2,2,2,1,21,Hyderabad,Unfurnished,Yes,No,No,Both,No,Bachelor,7,1192608
4470,2,3,1,2,30,Mumbai,Unfurnished,Yes,No,Yes,Both,No,Company,3,1064248
5199,4,2,2,2,21,Hyderabad,Unfurnished,Yes,No,No,Borewell,No,Family,1,1368618
1870,5,2,3,1,36,Chennai,Semi-Furnished,No,Yes,Yes,Borewell,Yes,Company,1,1571286
980,4,2,2,0,46,Hyderabad,Furnished,Yes,Yes,Yes,Corporation,No,Family,3,1320221
2694,3,3,3,2,26,Bangalore,Semi-Furnished,Yes,Yes,Yes,Both,Yes,Company,6,1835520
3547,2,1,3,1,49,Hyderabad,Unfurnished,No,Yes,No,Both,Yes,Family,4,969903
4649,3,3,2,1,13,Mumbai,Semi-Furnished,No,No,Yes,Borewell,No,Family,1,1054835
2079,1,1,3,0,46,Kolkata,Unfurnished,Yes,Yes,Yes,Borewell,Yes,Family,7,949475
3906,1,1,3,0,4,Kolkata,Unfurnished,No,Yes,No,Borewell,No,Family,2,1060931
5492,4,1,1,0,35,Delhi,Furnished,No,Yes,No,Borewell,Yes,Company,5,1265473
3144,5,2,1,2,31,Pune,Furnished,No,No,Yes,Corporation,No,Bachelor,8,1595167
3756,3,2,1,1,33,Hyderabad,Unfurnished,Yes,No,No,Corporation,Yes,Family,7,1260221
4445,5,1,1,1,6,Kolkata,Unfurnished,Yes,No,No,Corporation,No,Family,8,1336416
1643,4,1,3,1,41,Hyderabad,Semi-Furnished,Yes,No,Yes,Corporation,No,Family,10,1288118
5588,1,2,2,0,47,Pune,Unfurnished,No,No,No,Borewell,Yes,Family,6,806265
3518,5,3,3,1,9,Kolkata,Semi-Furnished,Yes,Yes,Yes,Corporation,Yes,Company,7,1505330
5504,5,1,3,2,49,Pune,Unfurnished,Yes,No,No,Corporation,No,Bachelor,9,1389962
2541,1,3,3,0,16,Hyderabad,Furnished,No,No,No,Corporation,Yes,Bachelor,6,1069914
5453,3,2,2,0,29,Mumbai,Furnished,No,Yes,Yes,Borewell,No,Bachelor,9,1578293
3459,1,1,1,0,20,Hyderabad,Unfurnished,Yes,Yes,Yes,Both,Yes,Company,2,742070
4948,5,3,3,0,12,Pune,Semi-Furnished,No,Yes,No,Borewell,No,Bachelor,2,1491026
5723,3,3,3,2,0,Mumbai,Semi-Furnished,Yes,No,No,Both,Yes,Company,2,1489732
3359,3,3,1,1,0,Mumbai,Semi-Furnished,Yes,Yes,No,Both,No,Company,6,1390060
2665,1,2,3,2,46,Delhi,Unfurnished,Yes,No,Yes,Corporation,Yes,Family,2,1204653
2879,5,2,2,1,32,Kolkata,Unfurnished,No,Yes,No,Corporation,No,Company,3,1414255
5046,4,3,3,2,37,Bangalore,Furnished,No,No,Yes,Corporation,Yes,Bachelor,8,1918182
2035,5,3,3,0,24,Mumbai,Furnished,Yes,No,No,Borewell,No,Bachelor,8,1334758
5808,2,2,1,0,25,Pune,Unfurnished,Yes,No,No,Borewell,Yes,Bachelor,4,988228
2157,4,3,3,2,12,Kolkata,Furnished,Yes,No,No,Corporation,Yes,Family,9,2013515
4852,3,3,3,2,27,Chennai,Semi-Furnished,Yes,Yes,No,Borewell,No,Family,8,1778912
2470,4,2,2,1,32,Hyderabad,Semi-Furnished,No,Yes,No,Borewell,Yes,Family,1,1019574
3249,3,3,1,2,36,Pune,Unfurnished,Yes,No,Yes,Both,Yes,Company,8,1332601
3651,3,3,1,2,40,Chennai,Semi-Furnished,Yes,Yes,Yes,Borewell,No,Bachelor,1,1313524
4130,4,3,2,1,29,Pune,Unfurnished,No,No,Yes,Both,No,Company,4,1189976
2889,3,2,3,1,48,Hyderabad,Semi-Furnished,Yes,Yes,No,Corporation,No,Company,10,994959
2031,3,3,1,1,47,Delhi,Unfurnished,Yes,Yes,Yes,Borewell,No,Bachelor,6,1116183
3216,2,2,1,2,7,Pune,Semi-Furnished,Yes,No,Yes,Both,Yes,Family,7,1114296
1415,5,2,3,1,48,Mumbai,Semi-Furnished,Yes,No,No,Borewell,Yes,Bachelor,10,1415323
1748,5,1,3,0,46,Bangalore,Furnished,Yes,Yes,No,Both,Yes,Company,4,1352677
5011,2,1,1,0,0,Mumbai,Furnished,No,No,Yes,Both,No,Company,8,1040608
3487,4,3,3,0,11,Hyderabad,Furnished,No,Yes,Yes,Borewell,Yes,Family,8,1691357
3239,1,2,1,2,4,Pune,Furnished,No,Yes,Yes,Corporation,Yes,Company,9,1105741
735,1,1,3,0,23,Bangalore,Furnished,No,Yes,Yes,Both,No,Company,6,796568
4992,1,3,3,2,5,Mumbai,Furnished,Yes,No,Yes,Corporation,Yes,Bachelor,4,1218406
1295,2,1,2,2,24,Bangalore,Unfurnished,No,No,Yes,Borewell,Yes,Family,2,898355
3946,2,1,3,0,0,Hyderabad,Unfurnished,No,Yes,Yes,Borewell,No,Bachelor,7,618318
1251,3,2,2,1,24,Delhi,Furnished,No,No,No,Corporation,Yes,Bachelor,10,1215636
2087,1,2,3,2,0,Delhi,Unfurnished,No,No,Yes,Borewell,No,Bachelor,3,1043097
2331,4,1,1,0,31,Pune,Furnished,No,Yes,No,Both,No,Company,3,854458
4146,4,1,1,2,41,Mumbai,Unfurnished,No,No,No,Corporation,Yes,Company,3,1244724
2827,1,2,3,1,41,Chennai,Semi-Furnished,No,No,No,Borewell,Yes,Family,4,1151479
1968,1,3,3,1,2,Hyderabad,Unfurnished,No,Yes,Yes,Borewell,Yes,Company,2,558895
4400,1,2,1,0,48,Mumbai,Unfurnished,Yes,No,Yes,Corporation,No,Family,5,739295
5452,2,1,3,2,18,Mumbai,Unfurnished,No,Yes,No,Both,No,Bachelor,3,698753
3138,2,3,2,2,42,Delhi,Semi-Furnished,Yes,No,Yes,Corporation,Yes,Bachelor,10,1387548
3898,2,1,2,2,28,Pune,Furnished,No,No,Yes,Borewell,Yes,Company,5,1210804
5787,5,3,2,2,49,Bangalore,Unfurnished,No,Yes,No,Borewell,No,Company,7,1271338
5936,4,1,2,0,1,Hyderabad,Unfurnished,No,Yes,Yes,Corporation,Yes,Family,9,1753385
5687,4,3,2,1,8,Bangalore,Semi-Furnished,Yes,No,No,Both,Yes,Company,2,1622122
4313,3,3,3,0,16,Kolkata,Furnished,Yes,Yes,No,Both,No,Company,9,1417426
1466,2,1,3,2,45,Kolkata,Unfurnished,No,Yes,No,Both,Yes,Company,10,1310266
4780,5,3,2,2,35,Hyderabad,Semi-Furnished,Yes,No,No,Corporation,Yes,Bachelor,6,1484958
2844,5,2,3,1,16,Pune,Furnished,No,Yes,Yes,Both,Yes,Company,6,1522264
4507,4,1,3,2,48,Chennai,Furnished,Yes,No,No,Both,Yes,Company,3,1163501
3773,2,2,2,0,11,Kolkata,Unfurnished,Yes,No,Yes,Both,No,Bachelor,10,1350036
4369,3,1,3,0,19,Delhi,Unfurnished,Yes,Yes,Yes,Both,No,Bachelor,9,1303491
2946,2,3,3,1,49,Chennai,Unfurnished,No,No,Yes,Borewell,No,Bachelor,4,1142170
1153,1,3,3,0,2,Mumbai,Unfurnished,Yes,Yes,Yes,Corporation,No,Bachelor,5,991330
2482,2,3,2,0,42,Kolkata,Semi-Furnished,Yes,No,No,Corporation,Yes,Company,3,1131985
3174,1,1,3,0,49,Delhi,Semi-Furnished,No,Yes,No,Both,Yes,Company,5,918651
3296,1,2,1,0,3,Mumbai,Unfurnished,Yes,Yes,No,Corporation,Yes,Company,8,983898
4585,3,2,1,2,16,Chennai,Furnished,No,No,No,Corporation,Yes,Family,8,1437240
1175,4,1,2,0,49,Hyderabad,Unfurnished,No,Yes,No,Borewell,No,Bachelor,8,855711
2025,2,1,1,1,36,Mumbai,Furnished,Yes,Yes,Yes,Corporation,Yes,Company,6,1060506
3469,1,2,2,1,45,Bangalore,Furnished,No,Yes,No,Borewell,Yes,Company,1,1041679
817,2,2,1,0,41,Hyderabad,Furnished,Yes,No,Yes,Corporation,No,Company,10,944102
514,4,2,1,1,14,Hyderabad,Semi-Furnished,Yes,No,Yes,Borewell,No,Bachelor,6,888174
1016,4,2,1,0,32,Chennai,Furnished,No,Yes,No,Borewell,No,Bachelor,10,961211
4374,5,1,2,1,15,Chennai,Furnished,Yes,Yes,Yes,Corporation,Yes,Bachelor,7,1862366
3667,4,1,2,1,10,Delhi,Semi-Furnished,Yes,No,Yes,Borewell,No,Company,9,1308970
1225,3,3,3,0,19,Delhi,Furnished,No,No,No,Borewell,Yes,Bachelor,8,1412708
1916,1,2,2,0,37,Bangalore,Furnished,No,No,No,Corporation,Yes,Company,8,765642
3546,5,3,1,2,23,Hyderabad,Unfurnished,Yes,Yes,No,Borewell,No,Family,7,1297288
812,3,1,1,0,15,Pune,Furnished,No,No,Yes,Borewell,No,Bachelor,2,659680
1128,2,1,2,0,29,Bangalore,Furnished,No,Yes,No,Borewell,No,Bachelor,1,710795
3748,1,3,2,2,33,Bangalore,Furnished,No,No,No,Borewell,Yes,Company,2,1055608
3208,4,2,2,0,0,Pune,Furnished,No,Yes,Yes,Borewell,Yes,Bachelor,6,1676570
1075,1,2,3,0,23,Pune,Furnished,Yes,No,No,Both,Yes,Bachelor,2,936928
3865,2,2,1,2,23,Pune,Semi-Furnished,Yes,Yes,Yes,Borewell,No,Company,10,1544740
2904,5,2,3,0,8,Chennai,Furnished,No,No,Yes,Borewell,Yes,Company,4,1612901
3367,5,3,3,0,21,Bangalore,Furnished,Yes,No,No,Borewell,Yes,Company,10,1418637
3186,5,3,1,2,11,Bangalore,Semi-Furnished,No,Yes,Yes,Borewell,Yes,Family,3,1763066
1522,4,1,1,2,16,Mumbai,Semi-Furnished,No,No,Yes,Corporation,Yes,Company,6,970887
4479,3,2,2,1,24,Pune,Furnished,Yes,No,No,Both,No,Bachelor,8,1397320
1971,3,2,2,0,27,Pune,Furnished,Yes,No,No,Corporation,Yes,Family,6,1081557
5473,1,2,3,1,14,Delhi,Furnished,Yes,No,No,Both,No,Company,2,1478786
